#,1st author,year,journal,url,location,mean_annual_precip (mm),study_length (yrs),diversity_meas,N (all water treatments),year,timing_trt_pct,timing_trt_days,diversity,uncertainty,uncertainty meas. ,notes,more notes
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,-1,50%,18,13.99,0.83,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,0,50%,18,13.26,0.87,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,1,50%,18,13.89,0.77,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,2,50%,18,13.47,0.82,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,3,50%,18,14.61,0.58,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,4,50%,18,14.29,0.74,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,5,50%,18,14.18,1.19,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,6,50%,18,14.32,0.79,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,7,50%,18,13.26,0.53,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,8,50%,18,13.02,0.69,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,9,50%,18,13.79,0.6,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,10,50%,18,14.05,0.98,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,11,50%,18,14.29,0.53,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,12,50%,18,12.62,0.64,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,13,50%,18,13.63,0.76,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,14,50%,18,12.28,0.53,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,-1,0%,8,12.99,0.9,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,0,0%,8,12.62,1.01,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,1,0%,8,12.97,1.05,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,2,0%,8,13.07,1.11,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,3,0%,8,13.42,0.9,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,4,0%,8,13.23,0.79,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,5,0%,8,13.6,0.72,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,6,0%,8,12.99,0.64,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,7,0%,8,12.01,0.72,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,8,0%,8,11.48,0.98,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,9,0%,8,11.51,0.66,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,10,0%,8,11.88,0.5,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,11,0%,8,13.28,0.61,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,12,0%,8,11.51,0.85,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,13,0%,8,10.72,0.87,sd,need to calculate days from actual data,
1,jones,2015,scientific reports,,"39.1069¡ N, 96.6091¡ W",835,16,Richness,12,14,0%,8,10.71,0.85,sd,need to calculate days from actual data,
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13980,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.1,-50%,4,1.41,1.03;2.01,25%/75% quantiles,for grass,also has H'
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13981,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.1,0%,7,0.8,0.012;0.99,25%/75% quantiles,for grass,also has H'
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13982,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.1,100%,14,0.41,0.036;1.02,25%/75% quantiles,for grass,also has H'
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13983,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.1,200%,21,0.012,0.073;0.0,25%/75% quantiles,for grass,also has H'
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13984,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.4,-50%,4,1.79,1.05;2.02,25%/75% quantiles,for grass,also has H'
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13985,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.4,0%,7,1.79,1.95;2.06,25%/75% quantiles,for grass,also has H'
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13986,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.4,100%,14,1.58,1.95;2.06,25%/75% quantiles,for grass,also has H'
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13987,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.4,200%,21,2.01,1.95;2.06,25%/75% quantiles,for grass,also has H'
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13980,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.1,-50%,4,2.2,2.02;3.01,25%/75% quantiles,for forbs,also has H'
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13981,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.1,0%,7,2.19,2.02;3,25%/75% quantiles,for forbs,also has H'
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13982,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.1,100%,14,1.6,1.01;1.98,25%/75% quantiles,for forbs,also has H'
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13983,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.1,200%,21,1.4,1.03;2,25%/75% quantiles,for forbs,also has H'
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13984,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.4,-50%,4,1.2,1.03;2,25%/75% quantiles,for forbs,also has H'
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13985,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.4,0%,7,1.78,1.98;2.04,25%/75% quantiles,for forbs,also has H'
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13986,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.4,100%,14,1.79,1;1.99,25%/75% quantiles,for forbs,also has H'
2,zhang,2021,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13987,"31.79¡N, 110.90¡W",384Ê,0.4,richness,20,0.4,200%,21,1.59,1.04;2,25%/75% quantiles,for forbs,also has H'
3,barnett,2021,BMC ecology and evolution,https://link.springer.com/article/10.1186/s12862-021-01871-0#Sec12,"33¡ 36_ 34.65_ S, 150¡ 44_ 18.39_ E",861.6,2,Shannon's index (H'),12,3,0%,13,2.36,0.03,sd,need to check trt size. ,
3,barnett,2021,BMC ecology and evolution,https://link.springer.com/article/10.1186/s12862-021-01871-0#Sec13,"33¡ 36_ 34.65_ S, 150¡ 44_ 18.39_ E",861.6,2,Shannon's index (H'),12,3,62%,21,2.27,0.05,sd,need to check trt size. ,
4,miranda,2009,Journal of Vegetation Science,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2009.05680.x?casa_token=VEAqyfDrQh0AAAAA%3A_ILAwse5YFnI7ZBZIpCJ186AHSKg9HHN12-3mFGofFXa71k0nRojI6EvzSa5mYWPlgH4rC35TO2PdpD4,"36¡49_N, 2¡15_W",200,0.66,Richness,15,0.66,0%,7,4.59,0.35,sd,aggregated with rainfall decrease treatment :(,
4,miranda,2009,Journal of Vegetation Science,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2009.05680.x?casa_token=VEAqyfDrQh0AAAAA%3A_ILAwse5YFnI7ZBZIpCJ186AHSKg9HHN12-3mFGofFXa71k0nRojI6EvzSa5mYWPlgH4rC35TO2PdpD5,"36¡49_N, 2¡15_W",200,0.66,Richness,15,0.66,100%,14,4.47,0.34,sd,aggregated with rainfall decrease treatment :(,
4,miranda,2009,Journal of Vegetation Science,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2009.05680.x?casa_token=VEAqyfDrQh0AAAAA%3A_ILAwse5YFnI7ZBZIpCJ186AHSKg9HHN12-3mFGofFXa71k0nRojI6EvzSa5mYWPlgH4rC35TO2PdpD6,"36¡49_N, 2¡15_W",200,0.66,Richness,15,0.66,342%,31,5.06,0.28,sd,aggregated with rainfall decrease treatment :(,
