,study_id,study_url,latitude,longitude,study,site,site_block,replicate,precip_direction,precip_duration,replicates,delta_precip,map,lrr_s,freq_direction,delta_freq,treatment_start_date,treatment_end_date,storm_size_direction,delta_storm_size,notes
1,Alon_2019.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12807,31.711849,35.062945,Alon_2019,Matta.LTER,Matta.LTER - A,1,decr.P,1,5,-66,611,-0.287682072,unchanged,0,9/1/15,9/1/16,decrease,-0.66,
2,Alon_2019.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12808,31.711849,35.062945,Alon_2019,Matta.LTER,Matta.LTER - B,2,decr.P,1,5,-66,611,-0.36772478,unchanged,0,9/1/15,9/1/16,decrease,-0.66,
3,Alon_2019.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12809,31.711849,35.062945,Alon_2019,Matta.LTER,Matta.LTER - C,3,decr.P,1,5,-66,611,0.133531393,unchanged,0,9/1/15,9/1/16,decrease,-0.66,
4,Alon_2019.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12810,31.711849,35.062945,Alon_2019,Matta.LTER,Matta.LTER - D,4,decr.P,1,5,-66,611,-0.693147181,unchanged,0,9/1/15,9/1/16,decrease,-0.66,
5,Alon_2019.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12811,31.711849,35.062945,Alon_2019,Matta.LTER,Matta.LTER - E,5,decr.P,1,5,-66,611,0,unchanged,0,9/1/15,9/1/16,decrease,-0.66,
9,Baez_2013b.csv,https://link.springer.com/article/10.1007/s00442-012-2552-2,34.33333333,-106.96667,Baez_2013,C,C - A,1,incr.P,3,3,42,253,0.287682072,increase,,4/4/02,11/4/08,,,added five 21mm rainfall events between May and October each year
10,Baez_2013b.csv,https://link.springer.com/article/10.1007/s00442-012-2552-3,34.33333333,-106.96667,Baez_2013,C,C - A,2,incr.P,3,3,42,253,0.100083459,increase,,4/5/02,11/5/08,,,added five 21mm rainfall events between May and October each year
11,Baez_2013b.csv,https://link.springer.com/article/10.1007/s00442-012-2552-4,34.33333333,-106.96667,Baez_2013,C,C - A,3,incr.P,3,3,42,253,0.146603474,increase,,4/6/02,11/6/08,,,added five 21mm rainfall events between May and October each year
15,Baez_2013d.csv,https://link.springer.com/article/10.1007/s00442-012-2552-8,34.33333333,-106.96667,Baez_2013,G,G - A,1,incr.P,3,3,42,253,0.613104473,increase,,4/10/02,11/10/08,,,added five 21mm rainfall events between May and October each year
16,Baez_2013d.csv,https://link.springer.com/article/10.1007/s00442-012-2552-9,34.33333333,-106.96667,Baez_2013,G,G - A,2,incr.P,3,3,42,253,0.382992252,increase,,4/11/02,11/11/08,,,added five 21mm rainfall events between May and October each year
17,Baez_2013d.csv,https://link.springer.com/article/10.1007/s00442-012-2552-10,34.33333333,-106.96667,Baez_2013,G,G - A,3,incr.P,3,3,42,253,-0.054067221,increase,,4/12/02,11/12/08,,,added five 21mm rainfall events between May and October each year
21,Baez_2013f.csv,https://link.springer.com/article/10.1007/s00442-012-2552-14,34.33333333,-106.96667,Baez_2013,M,M - A,1,incr.P,3,3,42,253,0.171850257,increase,,4/15/02,11/15/08,,,added five 21mm rainfall events between May and October each year
22,Baez_2013f.csv,https://link.springer.com/article/10.1007/s00442-012-2552-15,34.33333333,-106.96667,Baez_2013,M,M - A,2,incr.P,3,3,42,253,-0.546543706,increase,,4/15/02,11/15/08,,,added five 21mm rainfall events between May and October each year
23,Baez_2013f.csv,https://link.springer.com/article/10.1007/s00442-012-2552-16,34.33333333,-106.96667,Baez_2013,M,M - A,3,incr.P,3,3,42,253,-0.182321557,increase,,4/15/02,11/15/08,,,added five 21mm rainfall events between May and October each year
24,Chimner_2010a.csv,https://onlinelibrary.wiley.com/doi/full/10.1002/eco.106,41,-104,Chimner_2010,HPGRS,HPGRS - A,1,incr.P,2,3,23,361,0.087011377,increase,,6/1/03,10/1/05,,,"watered once a week at rates of 0.6cm in June, Aug, Sept and 0.45 cm in July. Treatment only in effect in summer (growing season)"
25,Chimner_2010a.csv,https://onlinelibrary.wiley.com/doi/full/10.1002/eco.107,41,-104,Chimner_2010,HPGRS,HPGRS - A,2,incr.P,2,3,23,361,0.223143551,increase,,6/2/03,10/2/05,,,"watered once a week at rates of 0.6cm in June, Aug, Sept and 0.45 cm in July. Treatment only in effect in summer (growing season)"
26,Chimner_2010a.csv,https://onlinelibrary.wiley.com/doi/full/10.1002/eco.108,41,-104,Chimner_2010,HPGRS,HPGRS - A,3,incr.P,2,3,23,361,-0.074107972,increase,,6/3/03,10/3/05,,,"watered once a week at rates of 0.6cm in June, Aug, Sept and 0.45 cm in July. Treatment only in effect in summer (growing season)"
27,Chimner_2010b.csv,https://onlinelibrary.wiley.com/doi/full/10.1002/eco.109,41,-104,Chimner_2010,HPGRS,HPGRS - A,1,incr.P,2,3,35,361,0.087011377,increase,,6/4/03,10/4/05,,,"watered once a week at rates of 0.6cm in June, Aug, Sept and 0.45 cm in July. Treatment only in effect in summer (growing season)"
28,Chimner_2010b.csv,https://onlinelibrary.wiley.com/doi/full/10.1002/eco.110,41,-104,Chimner_2010,HPGRS,HPGRS - A,2,incr.P,2,3,35,361,0.559615788,increase,,6/5/03,10/5/05,,,"watered once a week at rates of 0.6cm in June, Aug, Sept and 0.45 cm in July. Treatment only in effect in summer (growing season)"
29,Chimner_2010b.csv,https://onlinelibrary.wiley.com/doi/full/10.1002/eco.111,41,-104,Chimner_2010,HPGRS,HPGRS - A,3,incr.P,2,3,35,361,-0.074107972,increase,,6/6/03,10/6/05,,,"watered once a week at rates of 0.6cm in June, Aug, Sept and 0.45 cm in July. Treatment only in effect in summer (growing season)"
30,Chimner_2010c.csv,https://onlinelibrary.wiley.com/doi/full/10.1002/eco.112,41,-104,Chimner_2010,HPGRS,HPGRS - A,1,incr.P,2,3,59,361,0,increase,,6/7/03,10/7/05,,,"watered once a week at rates of 0.6cm in June, Aug, Sept and 0.45 cm in July. Treatment only in effect in summer (growing season)"
31,Chimner_2010c.csv,https://onlinelibrary.wiley.com/doi/full/10.1002/eco.113,41,-104,Chimner_2010,HPGRS,HPGRS - A,2,incr.P,2,3,59,361,0.628608659,increase,,6/8/03,10/8/05,,,"watered once a week at rates of 0.6cm in June, Aug, Sept and 0.45 cm in July. Treatment only in effect in summer (growing season)"
32,Chimner_2010c.csv,https://onlinelibrary.wiley.com/doi/full/10.1002/eco.114,41,-104,Chimner_2010,HPGRS,HPGRS - A,3,incr.P,2,3,59,361,0.068992871,increase,,6/9/03,10/9/05,,,"watered once a week at rates of 0.6cm in June, Aug, Sept and 0.45 cm in July. Treatment only in effect in summer (growing season)"
33,Collins_2017.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13493,34.33333333,-106.71667,Collins_2017,SNWR,SNWR - A,1,incr.P,10,5,20,291,0.200670695,increase,,1/1/06,1/1/14,,,"in winter added six storms (four 5mm, one 10mm, one 20mm)"
34,Collins_2017.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13494,34.33333333,-106.71667,Collins_2017,SNWR,SNWR - A,2,incr.P,10,5,20,291,0.241162057,increase,,1/1/06,1/1/14,,,"in winter added six storms (four 5mm, one 10mm, one 20mm)"
35,Collins_2017.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13495,34.33333333,-106.71667,Collins_2017,SNWR,SNWR - A,3,incr.P,10,5,20,291,0.318453731,increase,,1/1/06,1/1/14,,,"in winter added six storms (four 5mm, one 10mm, one 20mm)"
36,Collins_2017.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13496,34.33333333,-106.71667,Collins_2017,SNWR,SNWR - A,4,incr.P,10,5,20,291,-0.575364145,increase,,1/1/06,1/1/14,,,"in winter added six storms (four 5mm, one 10mm, one 20mm)"
37,Collins_2017.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13497,34.33333333,-106.71667,Collins_2017,SNWR,SNWR - A,5,incr.P,10,5,20,291,0.287682072,increase,,1/1/06,1/1/14,,,"in winter added six storms (four 5mm, one 10mm, one 20mm)"
38,Eskelinen_2015a.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170112,38.86666667,-122.4333333,Eskelinen_2015,Harshserp,Harshserp - A,1,incr.P,4,3,18,872,-0.451985124,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
39,Eskelinen_2015a.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170113,38.86666667,-122.4333333,Eskelinen_2015,Harshserp,Harshserp - A,2,incr.P,4,3,18,872,0.916290732,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
40,Eskelinen_2015a.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170114,38.86666667,-122.4333333,Eskelinen_2015,Harshserp,Harshserp - A,3,incr.P,4,3,18,872,0,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
41,Eskelinen_2015a.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170115,38.86666667,-122.4333333,Eskelinen_2015,Harshserp,Harshserp - B,1,incr.P,4,3,18,872,-0.405465108,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
42,Eskelinen_2015a.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170116,38.86666667,-122.4333333,Eskelinen_2015,Harshserp,Harshserp - B,2,incr.P,4,3,18,872,-0.693147181,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
