ID.x,latitude,longitude,study,site,SiteBlock,replicate,treatment.direction,treat.duration.y,duration_rescale,N.replicates,delta.P.year,delta.P1_rescale,MAP_chelsa,MAP_rescale,LRR_S,frequency.direction,delta.F
jones_2015,39.1069,-96.6091,jones_2015,Konza,A,1,unch.P,14,,16,0,,835,,0.059408896,increase,0.5
zhang_2021,31.79,-110.9,zhang_2021,Santa_rita,A,1,unch.P,0.4,,20,0,,384,,0,decrease,-0.5
zhang_2021,31.79,-110.9,zhang_2021,Santa_rita,A,2,unch.P,0.4,,20,0,,384,,-0.054195944,increase,1
zhang_2021,31.79,-110.9,zhang_2021,Santa_rita,A,3,unch.P,0.4,,20,0,,384,,0.050343026,increase,2
zhang_2021,31.79,-110.9,zhang_2021,Santa_rita,B,1,unch.P,0.4,,20,0,,384,,-0.171238756,decrease,-0.5
zhang_2021,31.79,-110.9,zhang_2021,Santa_rita,B,2,unch.P,0.4,,20,0,,384,,0.002433029,increase,1
zhang_2021,31.79,-110.9,zhang_2021,Santa_rita,B,3,unch.P,0.4,,20,0,,384,,-0.049022878,increase,2
barnett_2021,-33.609625,150.738442,barnett_2021,DRI,A,1,unch.P,2,,12,0,,861.6,,-0.016886146,increase,0.62
Densmore-McCulloch_2016,50.72821903,-120.4371753,Densmore-McCulloch_2016,GPA,A,1,unch.P,1,,90,0,,279,,-0.055466972,increase,3.42
Densmore-McCulloch_2016,50.72821903,-120.4371753,Densmore-McCulloch_2016,GPA,B,1,unch.P,1,,90,0,,279,,-0.044185585,increase,3.42
Densmore-McCulloch_2016,50.72821903,-120.4371753,Densmore-McCulloch_2016,GPA,C,1,unch.P,1,,90,0,,279,,0.158156225,increase,3.42
xiangfei_2016,42.916667,120.7,xiangfei_2016,Naiman,A,1,unch.P,0.27,,28,0,,342,,-0.209398441,decrease,-0.64
xiangfei_2016,42.916667,120.7,xiangfei_2016,Naiman,A,2,unch.P,0.27,,28,0,,342,,-0.009428744,decrease,-0.45
xiangfei_2016,42.916667,120.7,xiangfei_2016,Naiman,A,3,unch.P,0.27,,28,0,,342,,-0.002924553,decrease,-0.09
Ma_2015,42.916667,120.7,Ma_2015,Naiman,A,1,unch.P,1.08,,36,0,,342,,-0.602059991,decrease,-0.63
Ma_2015,42.916667,120.7,Ma_2015,Naiman,A,2,unch.P,1.08,,36,0,,342,,0.176091259,decrease,-0.25
Ma_2015,42.916667,120.7,Ma_2015,Naiman,A,3,unch.P,1.08,,36,0,,342,,0.243038049,increase,0.5
Ma_2015,42.916667,120.7,Ma_2015,Naiman,B,1,unch.P,1.08,,36,0,,342,,-0.698970004,decrease,-0.63
Ma_2015,42.916667,120.7,Ma_2015,Naiman,B,2,unch.P,1.08,,36,0,,342,,0.204119983,decrease,-0.25
Ma_2015,42.916667,120.7,Ma_2015,Naiman,B,3,unch.P,1.08,,36,0,,342,,0.146128036,increase,0.5
He_2022,37.708611,107.226944,He_2022,Yanchi,A,1,unch.P,1.5,,18,0,,311,,0.124938737,increase,3
He_2022,37.708611,107.226944,He_2022,Yanchi,B,1,unch.P,1.5,,18,0,,311,,-0.13430394,increase,3
He_2022,37.708611,107.226944,He_2022,Yanchi,C,1,unch.P,1.5,,18,0,,311,,-0.103719852,increase,3
