W₀mean,W₀sd,Tmean,Tsd,var,mean,sd
0.1,0.0,10.0,0.0,n,1.5,1.2773327473170102
0.2,0.0,10.0,0.0,n,2.35,0.9880869341680842
0.3,0.0,10.0,0.0,n,4.1,1.651155894963793
0.4,0.0,10.0,0.0,n,4.2,1.6733200530681511
0.5,0.0,10.0,0.0,n,4.75,1.7129537431920892
0.6,0.0,10.0,0.0,n,5.25,1.6181535936466533
0.1,0.06,10.0,0.0,n,1.3,0.9233805168766387
0.2,0.06,10.0,0.0,n,2.65,1.348488432516786
0.3,0.06,10.0,0.0,n,3.4,1.6982963599783722
0.4,0.06,10.0,0.0,n,4.55,2.163695668842645
0.5,0.06,10.0,0.0,n,5.0,2.1026299321513875
0.6,0.06,10.0,0.0,n,5.4,1.6026294183720637
0.1,0.12,10.0,0.0,n,1.6,1.429022485182754
0.2,0.12,10.0,0.0,n,3.25,1.3717065820970682
0.3,0.12,10.0,0.0,n,3.65,1.9540780569443938
0.4,0.12,10.0,0.0,n,4.1,1.99736668746891
0.5,0.12,10.0,0.0,n,4.7,2.4942038071454684
0.6,0.12,10.0,0.0,n,5.3,2.617753154701063
0.1,0.18,10.0,0.0,n,1.9,1.2937094768634554
0.2,0.18,10.0,0.0,n,3.5,1.9867985355975657
0.3,0.18,10.0,0.0,n,3.65,1.5985190514644287
0.4,0.18,10.0,0.0,n,4.25,1.7129537431920892
0.5,0.18,10.0,0.0,n,4.5,2.23606797749979
0.6,0.18,10.0,0.0,n,4.3,1.3018205875255098
0.1,0.24,10.0,0.0,n,2.75,1.7733405882980469
0.2,0.24,10.0,0.0,n,3.7,1.6575187543592476
0.3,0.24,10.0,0.0,n,3.3,1.625455401774498
0.4,0.24,10.0,0.0,n,3.9,1.4473205733717958
0.5,0.24,10.0,0.0,n,5.1,2.1980852911951394
0.6,0.24,10.0,0.0,n,4.55,2.282081229238369
0.1,0.3,10.0,0.0,n,4.7,1.7501879598308412
0.2,0.3,10.0,0.0,n,4.2,1.8238190122579827
0.3,0.3,10.0,0.0,n,3.8,1.4363696929192158
0.4,0.3,10.0,0.0,n,3.8,1.5078740698501039
0.5,0.3,10.0,0.0,n,3.9,1.651155894963793
0.6,0.3,10.0,0.0,n,5.2,2.587418953726911
0.1,0.0,30.0,0.0,n,4.65,1.8431951662948316
0.2,0.0,30.0,0.0,n,5.5,1.3178930553209385
0.3,0.0,30.0,0.0,n,6.95,2.0641042405337657
0.4,0.0,30.0,0.0,n,9.85,2.6611236249690506
0.5,0.0,30.0,0.0,n,8.85,2.300457620378584
0.6,0.0,30.0,0.0,n,9.9,3.4166773641253156
0.1,0.06,30.0,0.0,n,4.4,1.4290224851827542
0.2,0.06,30.0,0.0,n,5.7,1.866604008973459
0.3,0.06,30.0,0.0,n,7.3,2.02874085917453
0.4,0.06,30.0,0.0,n,8.95,2.163695668842645
0.5,0.06,30.0,0.0,n,9.6,1.8180382718454353
0.6,0.06,30.0,0.0,n,9.75,2.5520889276702023
0.1,0.12,30.0,0.0,n,5.3,2.754899940870907
0.2,0.12,30.0,0.0,n,5.6,1.6670175069329813
0.3,0.12,30.0,0.0,n,6.55,2.3050288273114594
0.4,0.12,30.0,0.0,n,7.85,2.777257261172764
0.5,0.12,30.0,0.0,n,9.2,2.1667341419992585
0.6,0.12,30.0,0.0,n,10.25,1.8317377426626162
0.1,0.18,30.0,0.0,n,5.55,1.932410548076104
0.2,0.18,30.0,0.0,n,7.05,1.8771478925557026
0.3,0.18,30.0,0.0,n,6.95,1.8771478925557026
0.4,0.18,30.0,0.0,n,7.7,2.2266330494363245
0.5,0.18,30.0,0.0,n,9.9,2.881885347805276
0.6,0.18,30.0,0.0,n,9.25,2.76966651992238
0.1,0.24,30.0,0.0,n,6.35,2.870448342020899
0.2,0.24,30.0,0.0,n,6.6,2.1618705350983243
0.3,0.24,30.0,0.0,n,8.25,2.6729640555206244
0.4,0.24,30.0,0.0,n,8.95,2.0894471693929497
0.5,0.24,30.0,0.0,n,8.55,2.4165002967536595
0.6,0.24,30.0,0.0,n,7.9,1.7740824166460336
0.1,0.3,30.0,0.0,n,6.6,2.062190965683675
0.2,0.3,30.0,0.0,n,8.15,2.2307657406087458
0.3,0.3,30.0,0.0,n,7.45,1.9049796241485244
0.4,0.3,30.0,0.0,n,7.85,2.700389835404861
0.5,0.3,30.0,0.0,n,9.05,3.3791154245795716
0.6,0.3,30.0,0.0,n,8.1,2.9540338165758504
0.1,0.0,50.0,0.0,n,5.25,2.5313819816144116
0.2,0.0,50.0,0.0,n,7.85,2.5188761069384222
0.3,0.0,50.0,0.0,n,10.5,2.724160904127902
0.4,0.0,50.0,0.0,n,14.25,3.5373942238230733
0.5,0.0,50.0,0.0,n,14.4,2.5628931020687498
0.6,0.0,50.0,0.0,n,14.35,3.8289066736849926
0.1,0.06,50.0,0.0,n,6.65,2.323223713087621
0.2,0.06,50.0,0.0,n,9.35,2.497893849668261
0.3,0.06,50.0,0.0,n,10.9,2.4687520819444915
0.4,0.06,50.0,0.0,n,13.2,2.894641146743591
0.5,0.06,50.0,0.0,n,15.25,3.1768074010172374
0.6,0.06,50.0,0.0,n,13.95,2.9819633235769167
0.1,0.12,50.0,0.0,n,6.85,2.300457620378584
0.2,0.12,50.0,0.0,n,10.1,1.8324559303956276
0.3,0.12,50.0,0.0,n,11.95,2.564432839727663
0.4,0.12,50.0,0.0,n,12.7,3.180532891463978
0.5,0.12,50.0,0.0,n,15.4,3.7472797150943906
0.6,0.12,50.0,0.0,n,14.9,2.5110283068684702
0.1,0.18,50.0,0.0,n,9.1,2.2219005615155596
0.2,0.18,50.0,0.0,n,10.3,2.6377821625073796
0.3,0.18,50.0,0.0,n,10.95,2.87411313552363
0.4,0.18,50.0,0.0,n,11.15,2.207046132634963
0.5,0.18,50.0,0.0,n,13.3,2.494203807145468
0.6,0.18,50.0,0.0,n,14.0,2.809757434745082
0.1,0.24,50.0,0.0,n,9.45,2.837252191822221
0.2,0.24,50.0,0.0,n,10.55,2.258900524358558
0.3,0.24,50.0,0.0,n,11.95,2.438183102661747
