W₀mean,W₀sd,Tmean,Tsd,var,mean,sd
0.1,0.0,1.0,0.0,n,0.0,0.0
0.225,0.0,1.0,0.0,n,0.0,0.0
0.35,0.0,1.0,0.0,n,0.0,0.0
0.475,0.0,1.0,0.0,n,0.0,0.0
0.6,0.0,1.0,0.0,n,3.15,1.5652475842498528
0.1,0.05,1.0,0.0,n,0.0,0.0
0.225,0.05,1.0,0.0,n,0.0,0.0
0.35,0.05,1.0,0.0,n,0.0,0.0
0.475,0.05,1.0,0.0,n,0.0,0.0
0.6,0.05,1.0,0.0,n,0.7,0.8013147091860319
0.1,0.1,1.0,0.0,n,0.0,0.0
0.225,0.1,1.0,0.0,n,0.0,0.0
0.35,0.1,1.0,0.0,n,0.0,0.0
0.475,0.1,1.0,0.0,n,0.0,0.0
0.6,0.1,1.0,0.0,n,0.0,0.0
0.1,0.15,1.0,0.0,n,0.0,0.0
0.225,0.15,1.0,0.0,n,0.0,0.0
0.35,0.15,1.0,0.0,n,0.0,0.0
0.475,0.15,1.0,0.0,n,0.0,0.0
0.6,0.15,1.0,0.0,n,0.0,0.0
0.1,0.2,1.0,0.0,n,0.0,0.0
0.225,0.2,1.0,0.0,n,0.0,0.0
0.35,0.2,1.0,0.0,n,0.0,0.0
0.475,0.2,1.0,0.0,n,0.0,0.0
0.6,0.2,1.0,0.0,n,0.0,0.0
0.1,0.0,10.75,0.0,n,1.75,1.5517392618742702
0.225,0.0,10.75,0.0,n,2.4,1.353358395757909
0.35,0.0,10.75,0.0,n,3.7,1.7501879598308412
0.475,0.0,10.75,0.0,n,6.2,1.7350868323485928
0.6,0.0,10.75,0.0,n,11.75,3.416292234510822
0.1,0.05,10.75,0.0,n,2.15,1.1367080817685318
0.225,0.05,10.75,0.0,n,2.1,1.2523661815266247
0.35,0.05,10.75,0.0,n,4.35,1.2680278927697548
0.475,0.05,10.75,0.0,n,6.6,1.984147702481637
0.6,0.05,10.75,0.0,n,10.95,2.704285098641939
0.1,0.1,10.75,0.0,n,2.9,1.651155894963793
0.225,0.1,10.75,0.0,n,3.5,1.3178930553209385
0.35,0.1,10.75,0.0,n,4.25,1.292692009559488
0.475,0.1,10.75,0.0,n,7.05,2.564432839727663
0.6,0.1,10.75,0.0,n,11.05,2.327750212679956
0.1,0.15,10.75,0.0,n,2.25,1.446411166701189
0.225,0.15,10.75,0.0,n,3.85,1.5312533566021214
0.35,0.15,10.75,0.0,n,4.4,1.7591864148251213
0.475,0.15,10.75,0.0,n,7.5,2.460209661583209
0.6,0.15,10.75,0.0,n,13.25,2.826100158391977
0.1,0.2,10.75,0.0,n,2.5,1.4689774459950382
0.225,0.2,10.75,0.0,n,4.7,2.1545545393788235
0.35,0.2,10.75,0.0,n,6.05,2.4809802816416613
0.475,0.2,10.75,0.0,n,7.6,2.583347481568501
0.6,0.2,10.75,0.0,n,17.55,3.6342667399135835
0.1,0.0,20.5,0.0,n,3.6,2.257152374587339
0.225,0.0,20.5,0.0,n,4.95,2.327750212679956
0.35,0.0,20.5,0.0,n,5.8,2.5256578090511494
0.475,0.0,20.5,0.0,n,10.65,2.8704483420208984
0.6,0.0,20.5,0.0,n,16.0,3.4943563521469123
0.1,0.05,20.5,0.0,n,3.1,1.8035053587243286
0.225,0.05,20.5,0.0,n,5.35,1.9269556026896009
0.35,0.05,20.5,0.0,n,6.85,2.277463963548745
0.475,0.05,20.5,0.0,n,10.0,2.635786110641877
0.6,0.05,20.5,0.0,n,15.3,2.9037181246409616
0.1,0.1,20.5,0.0,n,4.1,1.7137217117324381
0.225,0.1,20.5,0.0,n,5.4,2.087557121815378
0.35,0.1,20.5,0.0,n,7.5,2.481510575605533
0.475,0.1,20.5,0.0,n,10.05,2.438183102661747
0.6,0.1,20.5,0.0,n,15.55,3.119969635479773
0.1,0.15,20.5,0.0,n,4.75,2.0994986870303363
0.225,0.15,20.5,0.0,n,4.55,1.7614288458371994
0.35,0.15,20.5,0.0,n,6.1,1.7137217117324381
0.475,0.15,20.5,0.0,n,10.45,2.6051568293028273
0.6,0.15,20.5,0.0,n,17.1,3.0762246170812757
0.1,0.2,20.5,0.0,n,4.85,2.0332758116683998
0.225,0.2,20.5,0.0,n,6.6,2.500526260399472
0.35,0.2,20.5,0.0,n,8.35,2.796143961356707
0.475,0.2,20.5,0.0,n,12.0,2.752988806446741
0.6,0.2,20.5,0.0,n,23.45,2.4596747752497685
0.1,0.0,30.25,0.0,n,3.3,1.3416407864998738
0.225,0.0,30.25,0.0,n,7.5,2.1398475105532757
0.35,0.0,30.25,0.0,n,7.5,2.6056618514708556
0.475,0.0,30.25,0.0,n,12.5,3.8182387783402247
0.6,0.0,30.25,0.0,n,18.5,3.3166247903554
0.1,0.05,30.25,0.0,n,3.85,1.9808291724745768
0.225,0.05,30.25,0.0,n,7.0,1.4509525002200232
0.35,0.05,30.25,0.0,n,8.75,2.3591925469711477
0.475,0.05,30.25,0.0,n,12.55,2.605156829302827
0.6,0.05,30.25,0.0,n,19.65,3.1334359818945687
0.1,0.1,30.25,0.0,n,4.55,2.0894471693929497
0.225,0.1,30.25,0.0,n,6.45,2.0641042405337657
0.35,0.1,30.25,0.0,n,7.8,2.3753116139062462
0.475,0.1,30.25,0.0,n,12.5,2.704771612111494
0.6,0.1,30.25,0.0,n,20.55,2.762054917705485
0.1,0.15,30.25,0.0,n,5.45,2.139232523470435
0.225,0.15,30.25,0.0,n,7.6,2.036508880671192
0.35,0.15,30.25,0.0,n,9.7,2.0545200489600846
0.475,0.15,30.25,0.0,n,13.6,2.798495836582292
0.6,0.15,30.25,0.0,n,20.8,2.7260922485067196
0.1,0.2,30.25,0.0,n,7.25,2.2213082915965963
0.225,0.2,30.25,0.0,n,7.85,1.5312533566021211
0.35,0.2,30.25,0.0,n,10.5,2.328315406378386
0.475,0.2,30.25,0.0,n,15.25,2.6332889181242134
0.6,0.2,30.25,0.0,n,24.85,2.1588252165910684
0.1,0.0,40.0,0.0,n,4.6,1.8750438591361565
0.225,0.0,40.0,0.0,n,7.45,2.7429335045761345
0.35,0.0,40.0,0.0,n,10.35,2.870448342020899
0.475,0.0,40.0,0.0,n,15.0,3.1953914182443244
0.6,0.0,40.0,0.0,n,23.0,2.0
0.1,0.05,40.0,0.0,n,5.8,2.1908902300206643
0.225,0.05,40.0,0.0,n,8.15,1.9269556026896006
0.35,0.05,40.0,0.0,n,9.4,2.1618705350983247
0.475,0.05,40.0,0.0,n,14.4,2.0104987598001385
0.6,0.05,40.0,0.0,n,22.3,2.696976865033572
0.1,0.1,40.0,0.0,n,6.7,2.364206776957237
0.225,0.1,40.0,0.0,n,7.3,2.129986409642831
0.35,0.1,40.0,0.0,n,10.95,2.2354794611117836
0.475,0.1,40.0,0.0,n,14.55,3.2682684937698157
0.6,0.1,40.0,0.0,n,21.75,3.0413812651491097
0.1,0.15,40.0,0.0,n,7.15,2.5603248149199227
0.225,0.15,40.0,0.0,n,9.2,2.7644357947251903
0.35,0.15,40.0,0.0,n,12.35,2.6011131220468307
0.475,0.15,40.0,0.0,n,15.45,2.564432839727663
0.6,0.15,40.0,0.0,n,23.6,2.458069417888334
0.1,0.2,40.0,0.0,n,7.45,1.6050905860647504
0.225,0.2,40.0,0.0,n,10.05,2.3725402775129134
